pl_hostname,pl_name,pl_disc,pl_kepflag,pl_locale,pl_discmethod,pl_facility,pl_pnum,pl_orbper,st_dist,st_age,pl_masse,pl_rade,pl_bmassj,pl_radj,pl_dens,st_mass,st_rad,st_dens
11 Com,11 Com b,2007,0,Ground,Radial Velocity,Xinglong Station,1,326.03,93.37,,,,19.4,,,2.7,19,
11 UMi,11 UMi b,2009,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,516.21997,125.72,,,,14.74,,,2.78,29.79,
14 And,14 And b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,185.84,75.59,,,,4.8,,,2.2,11,
14 Her,14 Her b,2002,0,Ground,Radial Velocity,W. M. Keck Observatory,1,1773.40002,17.94,,,,4.66,,,0.9,0.93,
16 Cyg B,16 Cyg B b,1996,0,Ground,Radial Velocity,Multiple Observatories,1,798.5,21.41,,,,1.78,,,1.08,1.13,
18 Del,18 Del b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,993.3,76.38,,,,10.3,,,2.3,8.5,
1RXS J160929.1-210524,1RXS J160929.1-210524 b,2008,0,Ground,Imaging,Gemini Observatory,1,,145,0.005,3000,,8,,,0.85,,
24 Boo,24 Boo b,2018,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,30.3506,96.25,6.92,,,0.91,,,0.99,10.64,
24 Sex,24 Sex b,2010,0,Ground,Radial Velocity,Lick Observatory,2,452.8,72.21,2.7,,,1.99,,,1.54,4.9,
24 Sex,24 Sex c,2010,0,Ground,Radial Velocity,Lick Observatory,2,883,72.21,2.7,,,0.86,,,1.54,4.9,
2MASS J01225093-2439505,2MASS J01225093-2439505 b,2013,0,Ground,Imaging,W. M. Keck Observatory,1,,36,0.12,7786.5,,24.5,,,0.4,,
2MASS J02192210-3925225,2MASS J02192210-3925225 b,2015,0,Ground,Imaging,Cerro Tololo Inter-American Observatory,1,,39.4,0.035,4417.837,16.141,13.9,1.44,,0.11,0.28,
2MASS J04414489+2301513,2MASS J04414489+2301513 b,2010,0,Space,Imaging,Hubble Space Telescope,1,,140,0.001,2383.6,,7.5,,,0.02,,
2MASS J12073346-3932539,2MASS J12073346-3932539 b,2004,0,Ground,Imaging,Paranal Observatory,1,,52.4,0.008,1271,,4,,,0.02,,
2MASS J19383260+4603591,2MASS J19383260+4603591 b,2015,1,Space,Eclipse Timing Variations,Kepler,1,416,396.36,,603.877,,1.9,,,0.48,,
2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,2009,0,Ground,Imaging,W. M. Keck Observatory,1,7336.5,25,,6657.48,10.31,20.95,0.92,,0.08,0.12,
2MASS J22362452+4751425,2MASS J22362452+4751425 b,2016,0,Ground,Imaging,W. M. Keck Observatory,1,,74,0.12,3972.875,,12.5,,,0.6,,
30 Ari B,30 Ari B b,2009,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,335.10001,44.71,,,,13.82,,,1.93,1.41,
4 UMa,4 UMa b,2006,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,269.3,73.58,4.604,,,7.1,,,1.23,18.11,
42 Dra,42 Dra b,2008,0,Ground,Radial Velocity,Thueringer Landessternwarte Tautenburg,1,479.1,90.86,9.49,,,3.88,,,0.98,22.03,
47 UMa,47 UMa b,1996,0,Ground,Radial Velocity,Lick Observatory,3,1078,13.8,7.3,,,2.53,,,1.03,1.23,
47 UMa,47 UMa c,2001,0,Ground,Radial Velocity,Lick Observatory,3,2391,13.8,7.3,,,0.54,,,1.03,1.23,
47 UMa,47 UMa d,2009,0,Ground,Radial Velocity,Lick Observatory,3,14002,13.8,7.3,,,1.64,,,1.03,1.23,
51 Eri,51 Eri b,2015,0,Ground,Imaging,Gemini Observatory,1,,29.4,0.02,635.66,,2,,,1.75,,
51 Peg,51 Peg b,1995,0,Ground,Radial Velocity,Haute-Provence Observatory,1,4.230785,15.47,4,,,0.472,,,1.12,1.2,
55 Cnc,55 Cnc b,1996,0,Ground,Radial Velocity,Lick Observatory,5,14.65152,12.59,10.2,263.9785,,0.8306,,,0.91,0.94,
55 Cnc,55 Cnc c,2004,0,Ground,Radial Velocity,McDonald Observatory,5,44.4175,12.59,10.2,54.4738,,0.1714,,,0.91,0.94,
55 Cnc,55 Cnc d,2002,0,Ground,Radial Velocity,Lick Observatory,5,4825,12.59,10.2,1232.493,,3.878,,,0.91,0.94,
55 Cnc,55 Cnc e,2004,0,Ground,Radial Velocity,McDonald Observatory,5,0.736539,12.59,10.2,8.08,1.91,0.02542,0.17,6.4,0.91,0.94,
55 Cnc,55 Cnc f,2007,0,Ground,Radial Velocity,Multiple Observatories,5,262,12.59,10.2,44.812,,0.141,,,0.91,0.94,
6 Lyn,6 Lyn b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,934.3,54.74,,,,2.01,,,1.44,5.2,
61 Vir,61 Vir b,2009,0,Ground,Radial Velocity,Multiple Observatories,3,4.215,8.51,8.96,,,0.016,,,0.94,0.96,
61 Vir,61 Vir c,2009,0,Ground,Radial Velocity,Multiple Observatories,3,38.021,8.51,8.96,,,0.057,,,0.94,0.96,
61 Vir,61 Vir d,2009,0,Ground,Radial Velocity,Multiple Observatories,3,123.01,8.51,8.96,,,0.072,,,0.94,0.96,
7 CMa,7 CMa b,2011,0,Ground,Radial Velocity,Anglo-Australian Telescope,1,796,19.82,,,,2.46,,,1.52,2.3,
70 Vir,70 Vir b,1996,0,Ground,Radial Velocity,Lick Observatory,1,116.688,17.91,,,,7.416,,,1.09,1.89,
75 Cet,75 Cet b,2012,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,691.9,83.15,,,,3,,,2.49,10.5,
8 UMi,8 UMi b,2015,0,Ground,Radial Velocity,Bohyunsan Optical Astronomical Observatory,1,93.4,159.1,,,,1.31,,,1.44,10.3,
81 Cet,81 Cet b,2008,0,Ground,Radial Velocity,Okayama Astrophysical Observatory,1,952.7,101.53,,,,5.3,,,2.4,11,
91 Aqr,91 Aqr b,2013,0,Ground,Radial Velocity,Lick Observatory,1,181.4,44.08,3.56,,,3.2,,,1.4,11,
AB Pic,AB Pic b,2005,0,Ground,Imaging,Paranal Observatory,1,,50.12,0.03,4290.5,,13.5,,,,,
BD+03 2562,BD+03 2562 b,2017,0,Ground,Radial Velocity,Multiple Observatories,1,481.9,2618,5.2,,,6.4,,,1.14,32.35,
BD+14 4559,BD+14 4559 b,2009,0,Ground,Radial Velocity,McDonald Observatory,1,268.94,49.42,,,,1.04,,,0.49,0.86,
BD+15 2375,BD+15 2375 b,2016,0,Ground,Radial Velocity,Roque de los Muchachos Observatory,1,153.22,774,7.41,,,1.061,,,1.08,8.95,
BD+15 2940,BD+15 2940 b,2013,0,Ground,Radial Velocity,McDonald Observatory,1,137.48,431.61,7.1,,,1.11,,,1.1,14.7,
BD+20 2457,BD+20 2457 b,2009,0,Ground,Radial Velocity,McDonald Observatory,2,379.63,200,,,,55.59,,,10.83,71.02,
BD+20 2457,BD+20 2457 c,2009,0,Ground,Radial Velocity,McDonald Observatory,2,621.99,200,,,,12.47,,,10.83,71.02,
BD+20 274,BD+20 274 b,2012,0,Ground,Radial Velocity,McDonald Observatory,1,578.2,1383.85,,,,4.2,,,0.8,17.3,
BD+20 594,BD+20 594 b,2016,0,Space,Transit,K2,1,41.6855,180.39,,22.2481,2.578,0.07,0.23,,1.67,1.08,1.89
BD+48 738,BD+48 738 b,2011,0,Ground,Radial Velocity,McDonald Observatory,1,392.6,892.17,,,,0.91,,,0.74,11,
BD+48 740,BD+48 740 b,2018,0,Ground,Radial Velocity,Multiple Observatories,1,733,678.94,,,,1.7,,,1.09,10.33,
BD+49 828,BD+49 828 b,2015,0,Ground,Radial Velocity,McDonald Observatory,1,2590,447.59,2.34,,,1.6,,,1.52,7.6,
BD-06 1339,BD-06 1339 b,2013,0,Ground,Radial Velocity,La Silla Observatory,2,3.8728,20.28,4.4,,,0.027,,,0.7,,
BD-06 1339,BD-06 1339 c,2013,0,Ground,Radial Velocity,La Silla Observatory,2,125.94,20.28,4.4,,,0.17,,,0.7,,
BD-08 2823,BD-08 2823 b,2009,0,Ground,Radial Velocity,La Silla Observatory,2,5.6,41.38,,,,0.04,,,0.5,0.71,
BD-08 2823,BD-08 2823 c,2009,0,Ground,Radial Velocity,La Silla Observatory,2,237.6,41.38,,,,0.33,,,0.5,0.71,
BD-10 3166,BD-10 3166 b,2000,0,Ground,Radial Velocity,W. M. Keck Observatory,1,3.48777,80,,,,0.59,,,1.47,0.91,
BD-11 4672,BD-11 4672 b,2014,0,Ground,Radial Velocity,La Silla Observatory,1,1667,27.3,4.4,,,0.53,,,0.57,0.52,
BD-13 2130,BD-13 2130 b,2007,0,Ground,Radial Velocity,La Silla Observatory,1,714.29999,766,,,,9.78,,,2.12,19.17,
BD-17 63,BD-17 63 b,2008,0,Ground,Radial Velocity,La Silla Observatory,1,655.59998,34.49,,,,2.85,,,0.31,0.74,
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,2011,0,Ground,Imaging,W. M. Keck Observatory,1,10037.5,23.1,,3337.1,,10.5,,,0.02,,
CHXR 73,CHXR 73 b,2006,0,Space,Imaging,Hubble Space Telescope,1,,191.05,0.002,3994.486,,12.569,,,0.35,,
CT Cha,CT Cha b,2007,0,Ground,Imaging,Paranal Observatory,1,,165,0.002,5403,24.66,17,2.2,,,,
CoRoT-1,CoRoT-1 b,2008,0,Space,Transit,CoRoT,1,1.5089557,805.31,,327.35,16.7,1.03,1.49,0.38,0.95,1.11,
CoRoT-10,CoRoT-10 b,2010,0,Space,Transit,CoRoT,1,13.2406,345,3,874,10.87,2.75,0.97,3.7,0.89,0.79,3.32
CoRoT-11,CoRoT-11 b,2010,0,Space,Transit,CoRoT,1,2.99433,560,2,740.51,16.03,2.33,1.43,0.99,1.27,1.37,0.69
CoRoT-12,CoRoT-12 b,2010,0,Space,Transit,CoRoT,1,2.828042,1150,6.3,291.438,16.14,0.917,1.44,0.411,1.08,1.12,1.08
CoRoT-13,CoRoT-13 b,2010,0,Space,Transit,CoRoT,1,4.03519,1060,1.635,415.704,9.92,1.308,0.885,2.34,1.09,1.01,1.468
CoRoT-14,CoRoT-14 b,2010,0,Space,Transit,CoRoT,1,1.51214,1340,4.2,2415.4,12.22,7.6,1.09,7.3,1.13,1.21,0.91
CoRoT-16,CoRoT-16 b,2011,0,Space,Transit,CoRoT,1,5.35227,840,6.73,170.032,13.11,0.535,1.17,0.44,1.1,1.19,0.93
CoRoT-17,CoRoT-17 b,2011,0,Space,Transit,CoRoT,1,3.7681,920,10.7,772.29,11.43,2.43,1.02,2.82,1.04,1.59,0.32
CoRoT-18,CoRoT-18 b,2011,0,Space,Transit,CoRoT,1,1.9000693,870,,1102.82,14.68,3.47,1.31,2.2,0.95,1,1.35
CoRoT-19,CoRoT-19 b,2011,0,Space,Transit,CoRoT,1,3.89713,770,5,352.78,14.46,1.11,1.29,0.71,1.21,1.65,0.38
CoRoT-2,CoRoT-2 b,2008,0,Space,Transit,CoRoT,1,1.7429935,200,2.7,1102.82,16.432,3.47,1.466,1.47,0.96,0.91,1.814
CoRoT-20,CoRoT-20 b,2011,0,Space,Transit,CoRoT,2,9.24285,864.31,,1366.669,,4.3,,,1.14,,
CoRoT-20,CoRoT-20 c,2018,0,Ground,Radial Velocity,Multiple Observatories,2,1675,864.31,,,,17,,,1.14,,
CoRoT-21,CoRoT-21 b,2012,0,Space,Transit,CoRoT,1,2.72474,1398.83,4.1,718.2958,14.572,2.26,1.3,1.36,1.29,1.95,0.255
CoRoT-22,CoRoT-22 b,2014,0,Space,Transit,CoRoT,1,9.75598,592,3.3,12.2,4.88,0.038,0.435,0.249,1.1,1.14,1.027
CoRoT-23,CoRoT-23 b,2011,0,Space,Transit,CoRoT,1,3.6313,600,7.2,889.9,11.77,2.8,1.05,3,1.14,1.61,0.5
CoRoT-24,CoRoT-24 b,2014,0,Space,Transit,CoRoT,2,5.1134,600,11,5.7,3.7,0.018,0.33,0.9,0.91,0.86,
CoRoT-24,CoRoT-24 c,2014,0,Space,Transit,CoRoT,2,11.759,600,11,28,5,0.088,0.44,1.3,0.91,0.86,
CoRoT-25,CoRoT-25 b,2013,0,Space,Transit,CoRoT,1,4.86069,1000,4.5,85.81,12.11,0.27,1.08,0.15,1.09,1.19,
CoRoT-26,CoRoT-26 b,2013,0,Space,Transit,CoRoT,1,4.20474,1670,8.6,165.26,14.12,0.52,1.26,0.28,1.09,1.79,
